,TractFIPS,TotalPopulation,PercentMale,PercentElderly,PercentWhite,City
393,06037189102.0,3.356,51.5,13.9,77.2,Los Angeles
394,06037189201.0,3.216,42.9,12.1,77.0,Los Angeles
395,06037189202.0,2.396,50.2,18.6,81.4,Los Angeles
396,06037189300.0,3.117,47.8,22.7,79.5,Los Angeles
397,06037189400.0,3.164,50.2,13.9,82.9,Los Angeles
398,06037189500.0,4.18,55.0,11.5,77.8,Los Angeles
399,06037189600.0,3.939,50.7,9.4,77.4,Los Angeles
400,06037189701.0,3.228,48.6,15.0,75.8,Los Angeles
401,06037189702.0,2.201,52.6,18.1,83.0,Los Angeles
402,06037189800.0,3.833,52.5,15.9,78.0,Los Angeles
403,06037189902.0,5.371,57.5,8.2,77.1,Los Angeles
404,06037189903.0,2.089,59.9,13.4,78.0,Los Angeles
405,06037189904.0,2.435,51.5,8.5,69.4,Los Angeles
406,06037189905.0,2.432,57.2,19.2,84.0,Los Angeles
407,06037190100.0,4.453,51.3,7.3,57.3,Los Angeles
408,06037190201.0,2.632,55.1,13.3,59.8,Los Angeles
409,06037190202.0,3.225,57.6,16.3,55.9,Los Angeles
410,06037190301.0,5.569,50.2,18.1,57.0,Los Angeles
411,06037190401.0,2.977,42.4,9.6,63.6,Los Angeles
412,06037190402.0,2.372,53.5,14.7,67.3,Los Angeles
413,06037190510.0,4.051,50.8,7.7,42.6,Los Angeles
414,06037190520.0,3.979,50.5,14.6,46.6,Los Angeles
415,06037190700.0,2.685,52.1,18.3,64.4,Los Angeles
416,06037190801.0,2.682,55.3,16.3,47.0,Los Angeles
417,06037190802.0,2.982,54.4,8.8,41.1,Los Angeles
418,06037190901.0,4.587,54.0,8.3,33.8,Los Angeles
419,06037190902.0,3.518,59.5,10.0,48.2,Los Angeles
420,06037191000.0,4.454,61.3,4.7,56.2,Los Angeles
421,06037191110.0,3.478,41.5,21.2,62.2,Los Angeles
422,06037191120.0,3.9,53.7,18.6,39.7,Los Angeles
423,06037191201.0,4.414,45.4,22.4,56.3,Los Angeles
424,06037191203.0,2.383,52.9,16.4,36.1,Los Angeles
425,06037191204.0,2.033,50.0,13.0,37.4,Los Angeles
426,06037191301.0,2.224,49.1,12.7,26.4,Los Angeles
427,06037191302.0,1.947,49.6,9.3,34.1,Los Angeles
428,06037191410.0,4.646,53.8,8.4,25.4,Los Angeles
429,06037191420.0,3.096,55.3,6.5,29.5,Los Angeles
430,06037191500.0,5.931,47.5,13.5,33.7,Los Angeles
