,Health Measure,City,DF Model,CC Model,Hybrid Model
113,DENTAL,Chicago,8.311099425671737,7.347211968333038,5.961279430867149
114,DENTAL,Los Angeles,8.617136250574212,7.645912299453959,6.570529810890746
115,DENTAL,Memphis,9.99117618138085,8.207554041111136,6.4584245710804264
116,DENTAL,New York,7.8840797830985725,6.876005315747218,5.606069373014042
117,DENTAL,Philadelphia,7.5816232345979335,7.553125313710913,5.997487797249804
118,DENTAL,San Diego,9.854205308301372,6.713294049901898,6.544744748787679
119,DENTAL,San Francisco,8.139165729358815,7.184868924615925,4.093893116997353
120,DIABETES,Austin,2.2352003521646635,2.0242213012450128,1.6782768567419863
121,DIABETES,Baltimore,2.986657556737381,3.7543185388727904,2.347879231570009
122,DIABETES,Boston,2.5068853630009955,3.3595754655991876,1.749726111639817
123,DIABETES,Chicago,2.5372792553909034,2.8777084933404105,2.0746888331787914
124,DIABETES,Los Angeles,2.502989186638569,2.446081870263737,2.013402863180147
125,DIABETES,Memphis,4.9828888862551395,3.9020860690386456,2.7603082195129685
126,DIABETES,New York,2.5246478666723444,2.4895179878895,1.7952651628142986
127,DIABETES,Philadelphia,2.9772501920402727,3.54411459595751,2.385430777896497
128,DIABETES,San Diego,2.881944406985066,2.350432569809287,2.1351102239097672
129,DIABETES,San Francisco,2.866497295824865,3.2156925700066563,1.6752819832685402
130,HIGHCHOL,Austin,3.4704141383099243,4.270748822864743,2.5989273698392967
131,HIGHCHOL,Baltimore,2.872109953348726,3.2744316335125476,2.456316095189589
132,HIGHCHOL,Boston,4.0974485814505375,4.398902385182403,2.9285955502327368
133,HIGHCHOL,Chicago,3.022473317474532,3.2269045091283806,2.2083283049144686
134,HIGHCHOL,Los Angeles,2.413751626893125,2.746838946785833,1.8389759116870985
135,HIGHCHOL,Memphis,3.741477914136066,3.1497734757346088,2.3985280804597466
136,HIGHCHOL,New York,2.6671274248587205,3.0559105581105555,2.0932632095858223
137,HIGHCHOL,Philadelphia,3.2357711942320835,3.8442948330850033,2.6424869518357452
138,HIGHCHOL,San Diego,2.7914256506700235,4.11009814070432,2.373635173599563
139,HIGHCHOL,San Francisco,3.064019421318453,3.8662038029001526,2.321941168256186
140,KIDNEY,Austin,0.49702040084849847,0.49743211921783376,0.38463293739213067
141,KIDNEY,Baltimore,0.7302646472614196,0.8564713633075903,0.604442186533115
142,KIDNEY,Boston,0.5227333474266841,0.7655767647250432,0.4267071967046942
143,KIDNEY,Chicago,0.6264539444817182,0.6862366973376993,0.5126456304832502
144,KIDNEY,Los Angeles,0.5760415856737504,0.551405877576573,0.47470321330563475
145,KIDNEY,Memphis,0.9615472123801049,0.8658410760760867,0.6414360120042802
146,KIDNEY,New York,0.6381157562299261,0.5970894695663013,0.46179725452531883
147,KIDNEY,Philadelphia,0.7308942064043964,0.8459863509798722,0.603159517860746
148,KIDNEY,San Diego,0.6319457731387614,0.5990910049956683,0.47534614289099125
149,KIDNEY,San Francisco,0.6809200603720793,0.6386306317720521,0.3857742693546869
150,LPA,Austin,5.950450113632029,4.727091746247769,4.191175736076027
151,LPA,Baltimore,6.124489218996412,6.053238729646441,4.713650502585059
152,LPA,Boston,5.347415720707167,6.797010055587195,4.117926172418997
153,LPA,Chicago,6.838426633510552,5.857393141665159,4.7476168775684044
154,LPA,Los Angeles,6.486959527166448,5.200328144138594,4.637675568948287
155,LPA,Memphis,8.077556211517606,6.423563394752264,5.138247907701763
156,LPA,New York,6.35951268953985,5.439168973790594,4.466925471019727
157,LPA,Philadelphia,6.673164330749708,6.0114833391282225,5.106886494582213
