,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
13123,36047051601.0,8,8,270,0,1,25,0,11,17,2,8,415,12,492,0,0,29,2,0,0,47,35,34,1,22,148,99,New York,2022,5252.0
13124,36047051602.0,2,2,189,0,7,7,0,7,35,1,5,196,0,703,0,0,7,5,0,0,34,3,1,4,6,81,52,New York,2019,3895.0
13125,36047051602.0,2,1,185,0,2,71,2,6,3,1,3,208,0,1038,1,0,12,16,2,0,17,2,1,3,14,122,58,New York,2020,3895.0
13126,36047051602.0,3,2,254,0,0,21,2,13,3,0,3,209,2,774,0,0,24,11,2,0,13,3,4,2,13,122,117,New York,2021,3895.0
13127,36047051602.0,3,1,365,0,0,9,0,26,40,0,9,279,6,649,0,0,64,10,1,0,24,5,7,3,13,188,100,New York,2022,3895.0
13128,36047051700.0,5,1,61,0,4,0,0,15,26,3,6,19,0,316,4,0,3,10,0,0,33,3,0,7,20,29,25,New York,2019,2581.0
13129,36047051700.0,14,12,56,0,6,9,0,10,4,1,25,32,0,368,11,0,1,8,0,0,26,12,1,8,40,33,25,New York,2020,2581.0
13130,36047051700.0,11,8,60,0,4,3,2,21,7,5,3,49,1,377,1,0,11,7,3,0,38,2,3,3,19,51,26,New York,2021,2581.0
13131,36047051700.0,6,5,58,0,0,6,2,31,20,5,11,35,9,301,2,0,18,2,0,0,30,7,14,7,23,23,12,New York,2022,2581.0
13132,36047051800.0,6,0,145,0,3,0,0,28,5,1,0,192,0,153,0,0,2,10,0,0,51,3,4,5,34,88,108,New York,2019,3328.0
13133,36047051800.0,5,4,144,0,0,50,0,21,4,1,9,79,0,241,0,0,6,11,0,0,35,3,1,1,51,76,20,New York,2020,3328.0
13134,36047051800.0,3,6,161,0,0,11,0,50,1,2,1,81,2,116,0,0,7,20,4,0,41,5,3,3,53,77,43,New York,2021,3328.0
13135,36047051800.0,4,7,188,0,0,1,1,28,0,1,6,114,4,126,0,0,13,9,4,0,30,14,19,2,36,89,31,New York,2022,3328.0
13136,36047051900.0,34,4,127,0,32,0,1,50,48,19,9,38,0,781,2,1,76,13,2,0,96,10,10,19,59,74,47,New York,2019,5066.0
13137,36047051900.0,12,6,123,0,37,13,0,61,13,8,32,37,0,625,5,0,40,12,4,0,70,11,19,11,67,72,45,New York,2020,5066.0
